pygame 1.9.4
Hello from the pygame community. https://www.pygame.org/contribute.html
Received at: 2019-06-22 15:01:16.405825 ['61', '8E', '80', 'C0', '80', '80', '80', '80', 'D0', '0F']
Received at: 2019-06-22 15:01:16.421785 ['60', 'C0', 'BF', '80', 'AC', '80', '84', '80', 'F0', '0F']
Received at: 2019-06-22 15:01:16.421840 ['61', '8E', '80', 'C0', '80', '80', '80', '80', 'D0', '0F']
Received at: 2019-06-22 15:01:16.437813 ['60', 'C0', 'BF', '80', 'AC', '80', '84', '80', 'F0', '0F']
Received at: 2019-06-22 15:01:16.437885 ['61', '8E', '80', 'C0', '80', '80', '80', '80', 'D0', '0F']
Received at: 2019-06-22 15:01:16.453758 ['60', 'C0', 'BF', '80', 'AC', '80', '84', '80', 'F0', '0F']
Received at: 2019-06-22 15:01:16.469756 ['61', '8E', '80', 'C0', '80', '80', '80', '80', 'D0', '0F']
Received at: 2019-06-22 15:01:16.485718 ['60', 'C0', 'BF', '80', 'AD', '80', '84', '80', 'EF', '0F']
Received at: 2019-06-22 15:01:16.485773 ['61', '8E', '80', 'C0', '80', '80', '80', '80', 'D0', '0F']
Received at: 2019-06-22 15:01:16.501738 ['60', 'C0', 'BF', '80', 'AC', '80', '84', '80', 'F0', '0F']
Received at: 2019-06-22 15:01:16.501791 ['61', '8E', '80', 'C0', '80', '80', '80', '80', 'D0', '0F']
Received at: 2019-06-22 15:01:16.517743 ['60', 'C0', 'BF', '80', 'AC', '80', '84', '80', 'F0', '0F']
Received at: 2019-06-22 15:01:16.517798 ['61', '8E', '80', 'C0', '80', '80', '80', '80', 'D0', '0F']
Received at: 2019-06-22 15:01:16.533716 ['60', 'C0', 'BF', '80', 'AC', '80', '84', '80', 'F0', '0F']
Received at: 2019-06-22 15:01:16.549704 ['61', '8E', '80', 'C0', '80', '80', '80', '80', 'D0', '0F']
Received at: 2019-06-22 15:01:16.565728 ['60', 'C0', 'BF', '80', 'AC', '80', '84', '80', 'F0', '0F']
Received at: 2019-06-22 15:01:16.565820 ['61', '8E', '80', 'C0', '80', '80', '80', '80', 'D0', '1A', 'A5', 'A7', '99', '0F']
Received at: 2019-06-22 15:01:16.581704 ['60', 'C0', 'BF', '80', 'AC', '80', '84', '80', 'F0', '0F']
Received at: 2019-06-22 15:01:16.581766 ['61', '8E', '80', 'C0', '80', '80', '80', '80', 'D0', '0F']
Received at: 2019-06-22 15:01:16.597693 ['60', 'C0', 'BF', '80', 'AC', '80', '84', '80', 'F0', '0F']
Received at: 2019-06-22 15:01:16.597747 ['61', '8E', '80', 'C0', '80', '80', '80', '80', 'D0', '0F']
Received at: 2019-06-22 15:01:16.613665 ['60', 'C0', 'BF', '80', 'AC', '80', '84', '80', 'F0', '0F']
Received at: 2019-06-22 15:01:16.629658 ['61', '8E', '80', 'C0', '80', '80', '80', '80', 'D0', '0F']
Received at: 2019-06-22 15:01:16.645644 ['60', 'C0', 'BF', '80', 'AC', '80', '84', '80', 'F0', '0F']
Received at: 2019-06-22 15:01:16.645698 ['61', '8E', '80', 'C0', '80', '80', '80', '80', 'D0', '0F']
Received at: 2019-06-22 15:01:16.661653 ['60', 'C0', 'BF', '80', 'AD', '80', '84', '80', 'EF', '0F']
Received at: 2019-06-22 15:01:16.661768 ['61', '8E', '80', 'C0', '80', '80', '80', '80', 'D0', '0F']
Received at: 2019-06-22 15:01:16.677652 ['60', 'C0', 'BF', '80', 'AC', '80', '84', '80', 'F0', '0F']
Received at: 2019-06-22 15:01:16.677710 ['61', '8E', '80', 'C0', '80', '80', '80', '80', 'D0', '0F']
