Received at: 2019-02-02 20:52:29.413090 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC', '0F']
Received at: 2019-02-02 20:52:29.429020 ['60', 'BF', 'BF', 'C0', 'BD', '80', '84', '80', 'A0', '0F']
Received at: 2019-02-02 20:52:29.444977 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC', '0F']
Received at: 2019-02-02 20:52:29.460928 ['60', 'C0', 'BF', 'C0', '85', '80', '84', '80', 'D7', '0F']
Received at: 2019-02-02 20:52:29.461009 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC', '0F']
Received at: 2019-02-02 20:52:29.476992 ['60', 'BF', 'BF', 'C0', 'BD', '80', '84', '80', 'A0', '0F']
Received at: 2019-02-02 20:52:29.477072 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC', '0F']
Received at: 2019-02-02 20:52:29.492956 ['60', 'BF', 'BF', 'C0', 'BD', '80', '84', '80', 'A0', '0F']
Received at: 2019-02-02 20:52:29.493029 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC', '0F']
Received at: 2019-02-02 20:52:29.508964 ['60', 'BF', 'BF', 'C0', 'BD', '80', '84', '80', 'A0', '0F']
Received at: 2019-02-02 20:52:29.524917 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC', '0F']
Received at: 2019-02-02 20:52:29.540878 ['60', 'BF', 'BF', 'C0', 'BD', '80', '84', '80', 'A0', '0F']
Received at: 2019-02-02 20:52:29.540953 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC', '0F']
Received at: 2019-02-02 20:52:29.556939 ['60', 'C0', 'BF', 'C0', '85', '80', '84', '80', 'D7', '0F']
Received at: 2019-02-02 20:52:29.557010 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC', '0F']
Received at: 2019-02-02 20:52:29.572914 ['60', 'BF', 'BF', 'C0', 'BC', '80', '84', '80', 'A1', '0F']
Received at: 2019-02-02 20:52:29.572984 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC', '0F']
Received at: 2019-02-02 20:52:29.588918 ['60', 'BF', 'BF', 'C0', 'BD', '80', '84', '80', 'A0', '0F']
Received at: 2019-02-02 20:52:29.604866 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC', '0F']
Received at: 2019-02-02 20:52:29.620828 ['60', 'BF', 'BF', 'C0', 'BD', '80', '84', '80', 'A0', '0F']
Received at: 2019-02-02 20:52:29.620929 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC', '1A', 'A5', 'A7', '99', '0F']
