Received at: 2019-04-03 16:27:27.330985 ['60', 'C7', 'BE', '80', 'B2', '80', '84', '80', 'E4']
Received at: 2019-04-03 16:27:27.331034 ['61', 'B0', '89', 'C0', '80', '80', '80', '80', 'A5']
Received at: 2019-04-03 16:27:27.347019 ['60', 'CB', 'BE', '80', '83', '80', '84', '80', '8F']
Received at: 2019-04-03 16:27:27.347161 ['61', 'B0', '89', 'C0', '80', '80', '80', '80', 'A5']
Received at: 2019-04-03 16:27:27.362967 ['60', 'CE', 'BE', '80', '85', '80', '84', '80', '8A']
Received at: 2019-04-03 16:27:27.378937 ['61', 'B0', '89', 'C0', '80', '80', '80', '80', 'A5']
Received at: 2019-04-03 16:27:27.394937 ['60', 'D0', 'BF', '80', 'A8', '80', '84', '80', 'E4']
Received at: 2019-04-03 16:27:27.394994 ['61', 'B0', '89', 'C0', '80', '80', '80', '80', 'A5']
Received at: 2019-04-03 16:27:27.410941 ['60', 'D3', 'BF', '80', 'AD', '80', '84', '80', 'DC']
Received at: 2019-04-03 16:27:27.410999 ['61', 'B0', '89', 'C0', '80', '80', '80', '80', 'A5']
Received at: 2019-04-03 16:27:27.426911 ['60', 'D7', 'C0', '80', 'B2', '80', '84', '80', 'D2']
Received at: 2019-04-03 16:27:27.426962 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '80', '85']
Received at: 2019-04-03 16:27:27.442904 ['60', 'DD', 'C1', '80', '80', '80', '84', '80', 'FD']
Received at: 2019-04-03 16:27:27.458911 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '80', '85']
Received at: 2019-04-03 16:27:27.474913 ['60', 'E2', 'C1', '80', 'A6', '80', '84', '80', 'D2']
Received at: 2019-04-03 16:27:27.474963 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '80', '85']
Received at: 2019-04-03 16:27:27.490912 ['60', 'E7', 'C2', '80', 'B6', '80', '84', '80', 'BC']
Received at: 2019-04-03 16:27:27.490962 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '80', '85']
Received at: 2019-04-03 16:27:27.506914 ['60', 'EC', 'C3', '80', 'AB', '80', '84', '80', 'C1']
Received at: 2019-04-03 16:27:27.506964 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '80', '85']
Received at: 2019-04-03 16:27:27.522912 ['60', 'F1', 'C3', '80', '89', '80', '84', '80', 'DE']
Received at: 2019-04-03 16:27:27.538909 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '80', '85']
Received at: 2019-04-03 16:27:27.554961 ['60', 'F5', 'C1', '80', 'A7', '80', '84', '80', 'BE']
Received at: 2019-04-03 16:27:27.555043 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '80', '85']
Received at: 2019-04-03 16:27:27.570872 ['60', 'F9', 'C0', '80', '89', '80', '84', '80', 'D9']
Received at: 2019-04-03 16:27:27.570944 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '80', '85']
Received at: 2019-04-03 16:27:27.586827 ['60', 'FC', 'BF', '80', '8B', '80', '84', '80', 'D5']
Received at: 2019-04-03 16:27:27.586884 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '80', '85']
Received at: 2019-04-03 16:27:27.602820 ['60', 'FE', 'BF', '80', 'B3', '80', '84', '80', 'AB']
Received at: 2019-04-03 16:27:27.618791 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '80', '85']
Received at: 2019-04-03 16:27:27.634802 ['60', 'FF', 'C0', '80', 'B8', '80', '84', '80', 'A4']
Received at: 2019-04-03 16:27:27.634857 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '80', '85']
Received at: 2019-04-03 16:27:27.650777 ['60', 'FF', 'C0', '80', 'BF', '80', '84', '80', '9D']
Received at: 2019-04-03 16:27:27.650828 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '80', '85']
Received at: 2019-04-03 16:27:27.666773 ['60', 'FF', 'C1', '80', 'B9', '80', '84', '80', 'A2']
Received at: 2019-04-03 16:27:27.666823 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '80', '85']
Received at: 2019-04-03 16:27:27.682742 ['60', 'FF', 'C1', '80', 'B9', '80', '84', '80', 'A2']
Received at: 2019-04-03 16:27:27.698701 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '80', '85']
Received at: 2019-04-03 16:27:27.714701 ['60', 'FF', 'C1', '80', 'BA', '80', '84', '80', 'A1']
Received at: 2019-04-03 16:27:27.714751 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '81', '84']
Received at: 2019-04-03 16:27:27.730704 ['60', 'FF', 'C1', '80', 'BC', '80', '84', '80', '9F']
Received at: 2019-04-03 16:27:27.730754 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '81', '84']
Received at: 2019-04-03 16:27:27.746699 ['60', 'FF', 'C1', '80', 'BC', '80', '84', '80', '9F']
Received at: 2019-04-03 16:27:27.746748 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '81', '84']
Received at: 2019-04-03 16:27:27.762695 ['60', 'FF', 'C1', '80', 'BD', '80', '84', '80', '9E']
Received at: 2019-04-03 16:27:27.778697 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '81', '84']
Received at: 2019-04-03 16:27:27.794675 ['60', 'FF', 'C1', '80', 'BC', '80', '84', '80', '9F']
Received at: 2019-04-03 16:27:27.794724 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '81', '84']
Received at: 2019-04-03 16:27:27.810679 ['60', 'FF', 'C1', '80', 'BC', '80', '84', '80', '9F']
Received at: 2019-04-03 16:27:27.810727 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '81', '84']
Received at: 2019-04-03 16:27:27.826681 ['60', 'FF', 'C1', '80', 'BD', '80', '84', '80', '9E']
Received at: 2019-04-03 16:27:27.826730 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '81', '84']
Received at: 2019-04-03 16:27:27.842649 ['60', 'FF', 'C1', '80', 'BD', '80', '84', '80', '9E']
Received at: 2019-04-03 16:27:27.858654 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '82', '83']
Received at: 2019-04-03 16:27:27.874624 ['60', 'FF', 'C1', '80', 'BD', '80', '84', '80', '9E']
Received at: 2019-04-03 16:27:27.874674 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '82', '83']
Received at: 2019-04-03 16:27:27.890633 ['60', 'FF', 'C1', '80', 'BD', '80', '84', '80', '9E']
Received at: 2019-04-03 16:27:27.890682 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '82', '83']
Received at: 2019-04-03 16:27:27.906634 ['60', 'FF', 'C1', '80', 'BD', '80', '84', '80', '9E']
Received at: 2019-04-03 16:27:27.906682 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '82', '83']
Received at: 2019-04-03 16:27:27.922603 ['60', 'FF', 'C1', '80', 'BD', '80', '84', '80', '9E']
Received at: 2019-04-03 16:27:27.938605 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '82', '83']
Received at: 2019-04-03 16:27:27.954610 ['60', 'FF', 'C1', '80', 'BD', '80', '84', '80', '9E']
Received at: 2019-04-03 16:27:27.954703 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '82', '83', '1A', 'A5', 'A7', '99']
Received at: 2019-04-03 16:27:27.970619 ['60', 'FF', 'C1', '80', 'BD', '80', '84', '80', '9E']
Received at: 2019-04-03 16:27:27.970689 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '82', '83']
Received at: 2019-04-03 16:27:27.986597 ['60', 'FF', 'C1', '80', 'BD', '80', '84', '80', '9E']
Received at: 2019-04-03 16:27:27.986655 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '82', '83']
Received at: 2019-04-03 16:27:28.002566 ['60', 'FF', 'C1', '80', 'BD', '80', '84', '80', '9E']
Received at: 2019-04-03 16:27:28.018562 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '83', '82']
Received at: 2019-04-03 16:27:28.034558 ['60', 'FF', 'C1', '80', 'BD', '80', '84', '80', '9E']
Received at: 2019-04-03 16:27:28.034608 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '83', '82']
Received at: 2019-04-03 16:27:28.050542 ['60', 'FF', 'C1', '80', 'BC', '80', '84', '80', '9F']
Received at: 2019-04-03 16:27:28.050591 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '83', '82']
Received at: 2019-04-03 16:27:28.066541 ['60', 'FF', 'C1', '80', 'BD', '80', '84', '80', '9E']
Received at: 2019-04-03 16:27:28.066590 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '83', '82']
Received at: 2019-04-03 16:27:28.082510 ['60', 'FF', 'C1', '80', 'BD', '80', '84', '80', '9E']
Received at: 2019-04-03 16:27:28.098513 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '83', '82']
Received at: 2019-04-03 16:27:28.114508 ['60', 'FF', 'C1', '80', 'BD', '80', '84', '80', '9E']
Received at: 2019-04-03 16:27:28.114557 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '83', '82']
Received at: 2019-04-03 16:27:28.130500 ['60', 'FF', 'C1', '80', 'BD', '80', '84', '80', '9E']
Received at: 2019-04-03 16:27:28.130551 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '83', '82']
Received at: 2019-04-03 16:27:28.146496 ['60', 'FF', 'C1', '80', 'BD', '80', '84', '80', '9E']
Received at: 2019-04-03 16:27:28.146545 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '83', '82']
Received at: 2019-04-03 16:27:28.162466 ['60', 'FF', 'C1', '80', 'BD', '80', '84', '80', '9E']
Received at: 2019-04-03 16:27:28.178443 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '83', '82']
Received at: 2019-04-03 16:27:28.194438 ['60', 'FF', 'C1', '80', 'BD', '80', '84', '80', '9E']
Received at: 2019-04-03 16:27:28.194486 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '84', '81']
Received at: 2019-04-03 16:27:28.210457 ['60', 'FF', 'C1', '80', 'BD', '80', '84', '80', '9E']
Received at: 2019-04-03 16:27:28.210507 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '84', '81']
Received at: 2019-04-03 16:27:28.226431 ['60', 'FF', 'C1', '80', 'BC', '80', '84', '80', '9F']
Received at: 2019-04-03 16:27:28.226481 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '84', '81']
Received at: 2019-04-03 16:27:28.242425 ['60', 'FF', 'C1', '80', 'BB', '80', '84', '80', 'A0']
Received at: 2019-04-03 16:27:28.258423 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '84', '81']
Received at: 2019-04-03 16:27:28.274393 ['60', 'FF', 'C1', '80', 'BB', '80', '84', '80', 'A0']
