Received at: 2019-04-03 17:11:12.314559 ['60', 'C2', 'BE', '80', '91', '80', '84', '80', '8A']
Received at: 2019-04-03 17:11:12.314618 ['61', '90', '80', 'C0', '80', '80', '80', '80', 'CE']
Received at: 2019-04-03 17:11:12.330548 ['60', 'C4', 'BD', '80', '8F', '80', '84', '80', '8B']
Received at: 2019-04-03 17:11:12.346528 ['61', '90', '80', 'C0', '80', '80', '80', '80', 'CE']
Received at: 2019-04-03 17:11:12.362493 ['60', 'C6', 'BD', '80', '8C', '80', '84', '80', '8C']
Received at: 2019-04-03 17:11:12.362550 ['61', '90', '80', 'C0', '80', '80', '80', '80', 'CE']
Received at: 2019-04-03 17:11:12.378506 ['60', 'C8', 'BD', '80', '82', '80', '84', '80', '94']
Received at: 2019-04-03 17:11:12.378564 ['61', '90', '80', 'C0', '80', '80', '80', '80', 'CE']
Received at: 2019-04-03 17:11:12.394503 ['60', 'C9', 'BD', '80', 'A8', '80', '84', '80', 'ED']
Received at: 2019-04-03 17:11:12.394575 ['61', '90', '80', 'C0', '80', '80', '80', '80', 'CE']
Received at: 2019-04-03 17:11:12.410475 ['60', 'CB', 'BC', '80', '8F', '80', '84', '80', '85']
Received at: 2019-04-03 17:11:12.426424 ['61', '90', '80', 'C0', '80', '80', '80', '80', 'CE']
Received at: 2019-04-03 17:11:12.442419 ['60', 'CC', 'BC', '80', 'A6', '80', '84', '80', 'ED']
Received at: 2019-04-03 17:11:12.442473 ['61', '90', '80', 'C0', '80', '80', '80', '80', 'CE']
Received at: 2019-04-03 17:11:12.458426 ['60', 'CE', 'BC', '80', 'A5', '80', '84', '80', 'EC']
Received at: 2019-04-03 17:11:12.458479 ['61', '90', '80', 'C0', '80', '80', '80', '80', 'CE']
Received at: 2019-04-03 17:11:12.474427 ['60', 'D0', 'BC', '80', 'AB', '80', '84', '80', 'E4']
Received at: 2019-04-03 17:11:12.474480 ['61', '90', '80', 'C0', 'A0', '80', '80', '80', 'AE']
Received at: 2019-04-03 17:11:12.490399 ['60', 'D3', 'BC', '80', '9B', '80', '84', '80', 'F1']
Received at: 2019-04-03 17:11:12.506411 ['61', '90', '80', 'C0', 'A0', '80', '80', '80', 'AE']
Received at: 2019-04-03 17:11:12.522380 ['60', 'D6', 'BC', '80', '9A', '80', '84', '80', 'EF']
Received at: 2019-04-03 17:11:12.522448 ['61', '90', '80', 'C0', 'A0', '80', '80', '80', 'AE']
Received at: 2019-04-03 17:11:12.538381 ['60', 'D9', 'BC', '80', '9A', '80', '84', '80', 'EC']
Received at: 2019-04-03 17:11:12.538437 ['61', '90', '80', 'C0', 'A0', '80', '80', '80', 'AE']
Received at: 2019-04-03 17:11:12.554381 ['60', 'DC', 'BC', '80', '93', '80', '84', '80', 'F0']
Received at: 2019-04-03 17:11:12.554435 ['61', '90', '80', 'C0', 'A0', '80', '80', '80', 'AE']
Received at: 2019-04-03 17:11:12.570355 ['60', 'DF', 'BC', '80', '8E', '80', '84', '80', 'F2']
Received at: 2019-04-03 17:11:12.586353 ['61', '90', '80', 'C0', 'A0', '80', '80', '80', 'AE']
Received at: 2019-04-03 17:11:12.602317 ['60', 'E2', 'BD', '80', '91', '80', '84', '80', 'EB']
Received at: 2019-04-03 17:11:12.602390 ['61', '90', '80', 'C0', 'A0', '80', '80', '80', 'AE']
Received at: 2019-04-03 17:11:12.618334 ['60', 'E5', 'BD', '80', 'AD', '80', '84', '80', 'CC']
Received at: 2019-04-03 17:11:12.618389 ['61', '90', '80', 'C0', 'A0', '80', '80', '80', 'AE']
Received at: 2019-04-03 17:11:12.634307 ['60', 'E9', 'BE', '80', '9A', '80', '84', '80', 'DA']
Received at: 2019-04-03 17:11:12.634359 ['61', '90', '80', 'C0', 'A0', '80', '80', '80', 'AE']
Received at: 2019-04-03 17:11:12.650303 ['60', 'ED', 'BE', '80', '96', '80', '84', '80', 'DA']
Received at: 2019-04-03 17:11:12.666257 ['61', '90', '80', 'C0', 'A0', '80', '80', '80', 'AE']
Received at: 2019-04-03 17:11:12.682245 ['60', 'F1', 'BE', '80', '8E', '80', '84', '80', 'DE']
Received at: 2019-04-03 17:11:12.682298 ['61', '90', '80', 'C0', 'A0', '80', '80', '80', 'AE']
Received at: 2019-04-03 17:11:12.698322 ['60', 'F4', 'BE', '80', 'AD', '80', '84', '80', 'BC']
Received at: 2019-04-03 17:11:12.698411 ['61', '90', '80', 'C0', 'A0', '80', '80', '80', 'AE', '1A', 'A5', 'A7', '99']
Received at: 2019-04-03 17:11:12.714248 ['60', 'F8', 'BE', '80', '85', '80', '84', '80', 'E0']
Received at: 2019-04-03 17:11:12.714304 ['61', '90', '80', 'C0', 'A0', '80', '80', '80', 'AE']
Received at: 2019-04-03 17:11:12.730233 ['60', 'FB', 'BF', '80', '82', '80', '84', '80', 'DF']
Received at: 2019-04-03 17:11:12.746210 ['61', '90', '80', 'C0', 'A0', '80', '80', '80', 'AE']
Received at: 2019-04-03 17:11:12.762172 ['60', 'FD', 'C0', '80', 'A8', '80', '84', '80', 'B6']
Received at: 2019-04-03 17:11:12.762226 ['61', '90', '80', 'C0', 'A0', '80', '80', '80', 'AE']
Received at: 2019-04-03 17:11:12.778212 ['60', 'FF', 'C0', '80', 'B2', '80', '84', '80', 'AA']
Received at: 2019-04-03 17:11:12.778266 ['61', '90', '80', 'C0', 'A0', '80', '80', '81', 'AD']
Received at: 2019-04-03 17:11:12.794238 ['60', 'FF', 'C0', '80', 'B9', '80', '84', '80', 'A3']
Received at: 2019-04-03 17:11:12.794308 ['61', '90', '80', 'C0', 'A0', '80', '80', '81', 'AD']
Received at: 2019-04-03 17:11:12.810190 ['60', 'FF', 'BF', '80', 'BC', '80', '84', '80', 'A1']
Received at: 2019-04-03 17:11:12.826149 ['61', '90', '80', 'C0', 'A0', '80', '80', '81', 'AD']
Received at: 2019-04-03 17:11:12.842125 ['60', 'FF', 'BF', '80', 'B9', '80', '84', '80', 'A4']
Received at: 2019-04-03 17:11:12.842179 ['61', '90', '80', 'C0', 'A0', '80', '80', '81', 'AD']
Received at: 2019-04-03 17:11:12.858138 ['60', 'FF', 'BF', '80', 'B8', '80', '84', '80', 'A5']
Received at: 2019-04-03 17:11:12.858191 ['61', '90', '80', 'C0', 'A0', '80', '80', '81', 'AD']
Received at: 2019-04-03 17:11:12.874138 ['60', 'FF', 'BF', '80', 'BD', '80', '84', '80', 'A0']
Received at: 2019-04-03 17:11:12.874191 ['61', '90', '80', 'C0', 'A0', '80', '80', '81', 'AD']
Received at: 2019-04-03 17:11:12.890111 ['60', 'FF', 'BF', '80', 'BF', '80', '84', '80', '9E']
Received at: 2019-04-03 17:11:12.906115 ['61', '90', '80', 'C0', 'A0', '80', '80', '81', 'AD']
Received at: 2019-04-03 17:11:12.906185 ['60', 'FF', 'C0', '80', 'B8', '80', '84', '80', 'A4']
Received at: 2019-04-03 17:11:12.922084 ['61', '90', '80', 'C0', 'A0', '80', '80', '81', 'AD']
Received at: 2019-04-03 17:11:12.938040 ['60', 'FF', 'C0', '80', 'B9', '80', '84', '80', 'A3']
Received at: 2019-04-03 17:11:12.938092 ['61', '90', '80', 'C0', 'A0', '80', '80', '82', 'AC']
Received at: 2019-04-03 17:11:12.954043 ['60', 'FF', 'C0', '80', 'B9', '80', '84', '80', 'A3']
Received at: 2019-04-03 17:11:12.954096 ['61', '90', '80', 'C0', 'A0', '80', '80', '82', 'AC']
Received at: 2019-04-03 17:11:12.970015 ['60', 'FF', 'C0', '80', 'B9', '80', '84', '80', 'A3']
Received at: 2019-04-03 17:11:12.985979 ['61', '90', '80', 'C0', 'A0', '80', '80', '82', 'AC']
Received at: 2019-04-03 17:11:12.986063 ['60', 'FF', 'C0', '80', 'B9', '80', '84', '80', 'A3']
Received at: 2019-04-03 17:11:13.002008 ['61', '90', '80', 'C0', 'A0', '80', '80', '82', 'AC']
Received at: 2019-04-03 17:11:13.017983 ['60', 'FF', 'C0', '80', 'BA', '80', '84', '80', 'A2']
Received at: 2019-04-03 17:11:13.018042 ['61', '90', '80', 'C0', 'A0', '80', '80', '82', 'AC']
Received at: 2019-04-03 17:11:13.033968 ['60', 'FF', 'C0', '80', 'BA', '80', '84', '80', 'A2']
Received at: 2019-04-03 17:11:13.034020 ['61', '90', '80', 'C0', 'A0', '80', '80', '82', 'AC']
Received at: 2019-04-03 17:11:13.049968 ['60', 'FF', 'C0', '80', 'B9', '80', '84', '80', 'A3']
Received at: 2019-04-03 17:11:13.065907 ['61', '90', '80', 'C0', 'A0', '80', '80', '82', 'AC']
Received at: 2019-04-03 17:11:13.065959 ['60', 'FF', 'C0', '80', 'B9', '80', '84', '80', 'A3']
Received at: 2019-04-03 17:11:13.081938 ['61', '90', '80', 'C0', 'A0', '80', '80', '83', 'AB']
Received at: 2019-04-03 17:11:13.097966 ['60', 'FF', 'BF', '80', 'BF', '80', '84', '80', '9E']
Received at: 2019-04-03 17:11:13.098043 ['61', '90', '80', 'C0', 'A0', '80', '80', '83', 'AB']
Received at: 2019-04-03 17:11:13.113909 ['60', 'FF', 'BF', '80', 'BE', '80', '84', '80', '9F']
Received at: 2019-04-03 17:11:13.113971 ['61', '90', '80', 'C0', 'A0', '80', '80', '83', 'AB']
Received at: 2019-04-03 17:11:13.129897 ['60', 'FF', 'BF', '80', 'BF', '80', '84', '80', '9E']
Received at: 2019-04-03 17:11:13.145863 ['61', '90', '80', 'C0', 'A0', '80', '80', '83', 'AB']
Received at: 2019-04-03 17:11:13.145920 ['60', 'FF', 'BF', '80', 'BF', '80', '84', '80', '9E']
Received at: 2019-04-03 17:11:13.161866 ['61', '90', '80', 'C0', 'A0', '80', '80', '83', 'AB']
Received at: 2019-04-03 17:11:13.177873 ['60', 'FF', 'C0', '80', 'B8', '80', '84', '80', 'A4']
Received at: 2019-04-03 17:11:13.177926 ['61', '90', '80', 'C0', 'A0', '80', '80', '83', 'AB']
Received at: 2019-04-03 17:11:13.193848 ['60', 'FF', 'BF', '80', 'BD', '80', '84', '80', 'A0']
Received at: 2019-04-03 17:11:13.193902 ['61', '90', '80', 'C0', 'A0', '80', '80', '83', 'AB']
Received at: 2019-04-03 17:11:13.209876 ['60', 'FF', 'BF', '80', 'BC', '80', '84', '80', 'A1']
Received at: 2019-04-03 17:11:13.225787 ['61', '90', '80', 'C0', 'A0', '80', '80', '83', 'AB']
Received at: 2019-04-03 17:11:13.225841 ['60', 'FF', 'BF', '80', 'BE', '80', '84', '80', '9F']
Received at: 2019-04-03 17:11:13.241818 ['61', '90', '80', 'C0', 'A0', '80', '80', '83', 'AB']
Received at: 2019-04-03 17:11:13.257800 ['60', 'FF', 'BF', '80', 'BF', '80', '84', '80', '9E']
Received at: 2019-04-03 17:11:13.257853 ['61', '90', '80', 'C0', 'A0', '80', '80', '84', 'AA']
Received at: 2019-04-03 17:11:13.273804 ['60', 'FF', 'BF', '80', 'BE', '80', '84', '80', '9F']
Received at: 2019-04-03 17:11:13.273858 ['61', '90', '80', 'C0', 'A0', '80', '80', '84', 'AA']
Received at: 2019-04-03 17:11:13.289776 ['60', 'FF', 'BF', '80', 'BE', '80', '84', '80', '9F']
Received at: 2019-04-03 17:11:13.305762 ['61', '90', '80', 'C0', 'A0', '80', '80', '84', 'AA']
Received at: 2019-04-03 17:11:13.305833 ['60', 'FF', 'BF', '80', 'BE', '80', '84', '80', '9F']
Received at: 2019-04-03 17:11:13.321746 ['61', '90', '80', 'C0', 'A0', '80', '80', '84', 'AA']
Received at: 2019-04-03 17:11:13.337792 ['60', 'FF', 'BF', '80', 'BE', '80', '84', '80', '9F']
Received at: 2019-04-03 17:11:13.337869 ['61', '90', '80', 'C0', 'A0', '80', '80', '84', 'AA']
Received at: 2019-04-03 17:11:13.353772 ['60', 'FF', 'BF', '80', 'BD', '80', '84', '80', 'A0']
Received at: 2019-04-03 17:11:13.353833 ['61', '90', '80', 'C0', 'A0', '80', '80', '84', 'AA']
Received at: 2019-04-03 17:11:13.369755 ['60', 'FF', 'BF', '80', 'BC', '80', '84', '80', 'A1']
Received at: 2019-04-03 17:11:13.385721 ['61', '90', '80', 'C0', 'A0', '80', '80', '84', 'AA']
Received at: 2019-04-03 17:11:13.385838 ['60', 'FF', 'BF', '80', 'BC', '80', '84', '80', 'A1']
Received at: 2019-04-03 17:11:13.401708 ['61', '90', '80', 'C0', 'A0', '80', '80', '84', 'AA']
Received at: 2019-04-03 17:11:13.417687 ['60', 'FF', 'BF', '80', 'BC', '80', '84', '80', 'A1']
Received at: 2019-04-03 17:11:13.417744 ['61', '90', '80', 'C0', 'A0', '80', '80', '84', 'AA']
Received at: 2019-04-03 17:11:13.433657 ['60', 'FF', 'BF', '80', 'BC', '80', '84', '80', 'A1']
Received at: 2019-04-03 17:11:13.433711 ['61', '90', '80', 'C0', 'A0', '80', '80', '84', 'AA']
Received at: 2019-04-03 17:11:13.449656 ['60', 'FF', 'BF', '80', 'BC', '80', '84', '80', 'A1']
Received at: 2019-04-03 17:11:13.465595 ['61', '90', '80', 'C0', 'A0', '80', '80', '84', 'AA']
Received at: 2019-04-03 17:11:13.465647 ['60', 'FF', 'BF', '80', 'BD', '80', '84', '80', 'A0']
Received at: 2019-04-03 17:11:13.481626 ['61', '90', '80', 'C0', 'A0', '80', '80', '84', 'AA']
Received at: 2019-04-03 17:11:13.497639 ['60', 'FF', 'BF', '80', 'BE', '80', '84', '80', '9F']
Received at: 2019-04-03 17:11:13.497715 ['61', '90', '80', 'C0', 'A0', '80', '80', '85', 'A9']
Received at: 2019-04-03 17:11:13.513620 ['60', 'FF', 'BF', '80', 'BE', '80', '84', '80', '9F']
Received at: 2019-04-03 17:11:13.513694 ['61', '90', '80', 'C0', 'A0', '80', '80', '85', 'A9']
Received at: 2019-04-03 17:11:13.529585 ['60', 'FF', 'C0', '80', 'BA', '80', '84', '80', 'A2']
Received at: 2019-04-03 17:11:13.545550 ['61', '90', '80', 'C0', 'A0', '80', '80', '85', 'A9']
