Received at: 2019-04-03 17:20:27.609213 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-03 17:20:27.625073 ['60', 'C1', 'BF', '80', '89', '80', '84', '80', '92']
Received at: 2019-04-03 17:20:27.625127 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-03 17:20:27.641075 ['60', 'C1', 'BF', '80', '88', '80', '84', '80', '93']
Received at: 2019-04-03 17:20:27.657039 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-03 17:20:27.657092 ['60', 'C1', 'BF', '80', '89', '80', '84', '80', '92']
Received at: 2019-04-03 17:20:27.673025 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-03 17:20:27.689023 ['60', 'C1', 'BF', '80', '89', '80', '84', '80', '92']
Received at: 2019-04-03 17:20:27.689075 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-03 17:20:27.705062 ['60', 'C1', 'BF', '80', '89', '80', '84', '80', '92']
Received at: 2019-04-03 17:20:27.705137 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-03 17:20:27.721105 ['60', 'C1', 'BF', '80', '88', '80', '84', '80', '93']
Received at: 2019-04-03 17:20:27.736972 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-03 17:20:27.737037 ['60', 'C1', 'BF', '80', '88', '80', '84', '80', '93']
Received at: 2019-04-03 17:20:27.753035 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-03 17:20:27.769008 ['60', 'C1', 'BF', '80', '88', '80', '84', '80', '93']
Received at: 2019-04-03 17:20:27.769081 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-03 17:20:27.784986 ['60', 'C1', 'BF', '80', '88', '80', '84', '80', '93']
Received at: 2019-04-03 17:20:27.785046 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-03 17:20:27.800986 ['60', 'C1', 'BF', '80', '88', '80', '84', '80', '93']
Received at: 2019-04-03 17:20:27.816924 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-03 17:20:27.816986 ['60', 'C1', 'BF', '80', '89', '80', '84', '80', '92']
Received at: 2019-04-03 17:20:27.832923 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-03 17:20:27.848932 ['60', 'C1', 'BF', '80', '89', '80', '84', '80', '92']
Received at: 2019-04-03 17:20:27.848999 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC', '1A', 'A5', 'A7', '99']
Received at: 2019-04-03 17:20:27.864905 ['60', 'C1', 'BF', '80', '88', '80', '84', '80', '93']
Received at: 2019-04-03 17:20:27.864958 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-03 17:20:27.880904 ['60', 'C1', 'BF', '80', '88', '80', '84', '80', '93']
