Received at: 2019-04-03 17:10:33.421069 ['60', '80', 'C0', '80', 'BF', '80', '84', '80', '9C']
Received at: 2019-04-03 17:10:33.421122 ['61', '92', '80', 'C0', 'A0', '80', '80', '80', 'AC']
Received at: 2019-04-03 17:10:33.437075 ['60', '80', 'C0', '80', '85', '80', '84', '80', 'D6']
Received at: 2019-04-03 17:10:33.437130 ['61', '92', '80', 'C0', 'A0', '80', '80', '80', 'AC']
Received at: 2019-04-03 17:10:33.453040 ['60', '80', 'C0', '80', '85', '80', '84', '80', 'D6']
Received at: 2019-04-03 17:10:33.469022 ['61', '92', '80', 'C0', 'A0', '80', '80', '80', 'AC']
Received at: 2019-04-03 17:10:33.485004 ['60', '80', 'C0', '80', '85', '80', '84', '80', 'D6']
Received at: 2019-04-03 17:10:33.485063 ['61', '92', '80', 'C0', 'A0', '80', '80', '80', 'AC']
Received at: 2019-04-03 17:10:33.501018 ['60', '80', 'C0', '80', '86', '80', '84', '80', 'D5']
Received at: 2019-04-03 17:10:33.501071 ['61', '92', '80', 'C0', 'A0', '80', '80', '81', 'AB']
Received at: 2019-04-03 17:10:33.517000 ['60', '80', 'C1', '80', '80', '80', '84', '80', 'DA']
Received at: 2019-04-03 17:10:33.517053 ['61', '92', '80', 'C0', 'A0', '80', '80', '81', 'AB']
Received at: 2019-04-03 17:10:33.533015 ['60', '80', 'C1', '80', '82', '80', '84', '80', 'D8']
Received at: 2019-04-03 17:10:33.548957 ['61', '92', '80', 'C0', 'A0', '80', '80', '81', 'AB']
Received at: 2019-04-03 17:10:33.564932 ['60', '80', 'C1', '80', '83', '80', '84', '80', 'D7']
Received at: 2019-04-03 17:10:33.565012 ['61', '92', '80', 'C0', 'A0', '80', '80', '81', 'AB', '1A', 'A5', 'A7', '99']
Received at: 2019-04-03 17:10:33.580951 ['60', '80', 'C1', '80', '83', '80', '84', '80', 'D7']
Received at: 2019-04-03 17:10:33.581008 ['61', '92', '80', 'C0', 'A0', '80', '80', '81', 'AB']
Received at: 2019-04-03 17:10:33.596921 ['60', '80', 'C1', '80', '83', '80', '84', '80', 'D7']
Received at: 2019-04-03 17:10:33.596975 ['61', '92', '80', 'C0', 'A0', '80', '80', '81', 'AB']
Received at: 2019-04-03 17:10:33.612918 ['60', '80', 'C1', '80', '83', '80', '84', '80', 'D7']
Received at: 2019-04-03 17:10:33.628883 ['61', '92', '80', 'C0', 'A0', '80', '80', '81', 'AB']
Received at: 2019-04-03 17:10:33.644854 ['60', '80', 'C1', '80', '83', '80', '84', '80', 'D7']
Received at: 2019-04-03 17:10:33.644909 ['61', '92', '80', 'C0', 'A0', '80', '80', '81', 'AB']
Received at: 2019-04-03 17:10:33.660866 ['60', '80', 'C1', '80', '83', '80', '84', '80', 'D7']
Received at: 2019-04-03 17:10:33.660932 ['61', '92', '80', 'C0', 'A0', '80', '80', '82', 'AA']
Received at: 2019-04-03 17:10:33.676838 ['60', '80', 'C1', '80', '83', '80', '84', '80', 'D7']
Received at: 2019-04-03 17:10:33.676893 ['61', '92', '80', 'C0', 'A0', '80', '80', '82', 'AA']
Received at: 2019-04-03 17:10:33.692806 ['60', '80', 'C1', '80', '83', '80', '84', '80', 'D7']
Received at: 2019-04-03 17:10:33.708805 ['61', '92', '80', 'C0', 'A0', '80', '80', '82', 'AA']
Received at: 2019-04-03 17:10:33.724781 ['60', '80', 'C1', '80', '83', '80', '84', '80', 'D7']
Received at: 2019-04-03 17:10:33.724835 ['61', '92', '80', 'C0', 'A0', '80', '80', '82', 'AA']
Received at: 2019-04-03 17:10:33.740762 ['60', '80', 'C1', '80', '83', '80', '84', '80', 'D7']
Received at: 2019-04-03 17:10:33.740814 ['61', '92', '80', 'C0', 'A0', '80', '80', '82', 'AA']
Received at: 2019-04-03 17:10:33.756804 ['60', '80', 'C1', '80', '82', '80', '84', '80', 'D8']
Received at: 2019-04-03 17:10:33.756877 ['61', '92', '80', 'C0', 'A0', '80', '80', '82', 'AA']
Received at: 2019-04-03 17:10:33.772766 ['60', '80', 'C1', '80', '82', '80', '84', '80', 'D8']
Received at: 2019-04-03 17:10:33.788738 ['61', '92', '80', 'C0', 'A0', '80', '80', '82', 'AA']
Received at: 2019-04-03 17:10:33.804691 ['60', '80', 'C1', '80', '83', '80', '84', '80', 'D7']
Received at: 2019-04-03 17:10:33.804745 ['61', '92', '80', 'C0', 'A0', '80', '80', '83', 'A9']
Received at: 2019-04-03 17:10:33.820716 ['60', '80', 'C1', '80', '83', '80', '84', '80', 'D7']
Received at: 2019-04-03 17:10:33.820768 ['61', '92', '80', 'C0', 'A0', '80', '80', '83', 'A9']
