Received at: 2019-04-03 16:17:27.508227 ['61', 'B1', '89', 'C0', 'A0', '80', '80', '84', '80']
Received at: 2019-04-03 16:17:27.524163 ['60', 'B9', '88', '80', 'A5', '80', '84', '80', 'B5']
Received at: 2019-04-03 16:17:27.540120 ['61', 'B1', '89', 'C0', 'A0', '80', '80', '84', '80']
Received at: 2019-04-03 16:17:27.540175 ['60', 'B9', '88', '80', '9E', '80', '84', '80', 'BC']
Received at: 2019-04-03 16:17:27.556156 ['61', 'B1', '89', 'C0', 'A0', '80', '80', '84', '80']
Received at: 2019-04-03 16:17:27.572059 ['60', 'B9', '88', '80', 'A5', '80', '84', '80', 'B5']
Received at: 2019-04-03 16:17:27.572111 ['61', 'B1', '89', 'C0', 'A0', '80', '80', '84', '80']
Received at: 2019-04-03 16:17:27.588060 ['60', 'B9', '88', '80', 'A6', '80', '84', '80', 'B4']
Received at: 2019-04-03 16:17:27.588111 ['61', 'B1', '89', 'C0', 'A0', '80', '80', '85', 'FF']
Received at: 2019-04-03 16:17:27.604035 ['60', 'B9', '88', '80', 'A5', '80', '84', '80', 'B5']
Received at: 2019-04-03 16:17:27.620000 ['61', 'B1', '89', 'C0', 'A0', '80', '80', '85', 'FF']
Received at: 2019-04-03 16:17:27.620051 ['60', 'B9', '88', '80', 'B4', '80', '84', '80', 'A6']
Received at: 2019-04-03 16:17:27.636011 ['61', 'B1', '89', 'C0', 'A0', '80', '80', '85', 'FF']
Received at: 2019-04-03 16:17:27.652019 ['60', 'B9', '88', '80', 'B5', '80', '84', '80', 'A5']
Received at: 2019-04-03 16:17:27.652071 ['61', 'B1', '89', 'C0', 'A0', '80', '80', '85', 'FF']
Received at: 2019-04-03 16:17:27.668018 ['60', 'BA', '88', '80', '83', '80', '84', '80', 'D6']
Received at: 2019-04-03 16:17:27.668069 ['61', 'B1', '89', 'C0', 'A0', '80', '80', '85', 'FF']
Received at: 2019-04-03 16:17:27.683994 ['60', 'BA', '88', '80', '84', '80', '84', '80', 'D5']
Received at: 2019-04-03 16:17:27.699958 ['61', 'B1', '89', 'C0', 'A0', '80', '80', '85', 'FF']
Received at: 2019-04-03 16:17:27.700009 ['60', 'BA', '88', '80', '83', '80', '84', '80', 'D6']
Received at: 2019-04-03 16:17:27.715967 ['61', 'B1', '89', 'C0', 'A0', '80', '80', '85', 'FF']
Received at: 2019-04-03 16:17:27.731980 ['60', 'BA', '88', '80', '84', '80', '84', '80', 'D5']
Received at: 2019-04-03 16:17:27.732031 ['61', 'B1', '89', 'C0', 'A0', '80', '80', '85', 'FF']
Received at: 2019-04-03 16:17:27.747951 ['60', 'B9', '88', '80', 'B4', '80', '84', '80', 'A6']
Received at: 2019-04-03 16:17:27.748002 ['61', 'B1', '89', 'C0', 'A0', '80', '80', '85', 'FF']
Received at: 2019-04-03 16:17:27.763956 ['60', 'B9', '88', '80', 'BB', '80', '84', '80', '9F']
Received at: 2019-04-03 16:17:27.779894 ['61', 'B1', '89', 'C0', 'A0', '80', '80', '85', 'FF']
Received at: 2019-04-03 16:17:27.779948 ['60', 'B9', '88', '80', 'BD', '80', '84', '80', '9D']
Received at: 2019-04-03 16:17:27.795924 ['61', 'B1', '89', 'C0', 'A0', '80', '80', '85', 'FF']
Received at: 2019-04-03 16:17:27.811940 ['60', 'B9', '88', '80', 'B4', '80', '84', '80', 'A6']
Received at: 2019-04-03 16:17:27.811997 ['61', 'B1', '89', 'C0', 'A0', '80', '80', '85', 'FF']
Received at: 2019-04-03 16:17:27.827911 ['60', 'B9', '88', '80', 'AC', '80', '84', '80', 'AE']
Received at: 2019-04-03 16:17:27.827965 ['61', 'B1', '89', 'C0', 'A0', '80', '80', '86', 'FE']
Received at: 2019-04-03 16:17:27.843911 ['60', 'B9', '88', '80', 'AD', '80', '84', '80', 'AD']
Received at: 2019-04-03 16:17:27.859850 ['61', 'B1', '89', 'C0', 'A0', '80', '80', '86', 'FE']
Received at: 2019-04-03 16:17:27.859903 ['60', 'B9', '88', '80', 'A5', '80', '84', '80', 'B5']
Received at: 2019-04-03 16:17:27.875902 ['61', 'B1', '89', 'C0', 'A0', '80', '80', '86', 'FE']
Received at: 2019-04-03 16:17:27.891904 ['60', 'B9', '88', '80', 'A5', '80', '84', '80', 'B5']
Received at: 2019-04-03 16:17:27.891986 ['61', 'B1', '89', 'C0', 'A0', '80', '80', '86', 'FE']
