Received at: 2019-04-02 16:07:42.452765 ['60', 'C1', 'BD', '80', '84', '80', '84', '80', '99']
Received at: 2019-04-02 16:07:42.468721 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-02 16:07:42.484734 ['60', 'C1', 'BD', '80', '89', '80', '84', '80', '94']
Received at: 2019-04-02 16:07:42.484788 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-02 16:07:42.500708 ['60', 'C1', 'BC', '80', '8A', '80', '84', '80', '94']
Received at: 2019-04-02 16:07:42.500759 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-02 16:07:42.516728 ['60', 'C1', 'BB', '80', '9C', '80', '84', '80', '83']
Received at: 2019-04-02 16:07:42.532657 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-02 16:07:42.532710 ['60', 'C1', 'B9', '80', 'A1', '80', '84', '80', '80']
Received at: 2019-04-02 16:07:42.548680 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-02 16:07:42.564668 ['60', 'C1', 'B6', '80', 'AE', '80', '84', '80', 'F6']
Received at: 2019-04-02 16:07:42.564720 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-02 16:07:42.580667 ['60', 'C1', 'B4', '80', 'B1', '80', '84', '80', 'F5']
Received at: 2019-04-02 16:07:42.580732 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC', '1A', 'A5', 'A7', '99']
Received at: 2019-04-02 16:07:42.596641 ['60', 'C2', 'B0', '80', '85', '80', '84', '80', 'A4']
Received at: 2019-04-02 16:07:42.612605 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-02 16:07:42.612656 ['60', 'C2', 'AD', '80', '94', '80', '84', '80', '98']
Received at: 2019-04-02 16:07:42.628626 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-02 16:07:42.644622 ['60', 'C2', 'AA', '80', '9C', '80', '84', '80', '93']
Received at: 2019-04-02 16:07:42.644675 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-02 16:07:42.660599 ['60', 'C2', 'A8', '80', 'A3', '80', '84', '80', '8E']
Received at: 2019-04-02 16:07:42.660650 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
