Received at: 2019-04-03 16:22:15.561161 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '84', '81']
Received at: 2019-04-03 16:22:15.577157 ['60', 'BD', 'F9', '80', 'A2', '80', '84', '80', 'C3']
Received at: 2019-04-03 16:22:15.577210 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '84', '81']
Received at: 2019-04-03 16:22:15.593166 ['60', 'BD', 'F9', '80', 'B2', '80', '84', '80', 'B3']
Received at: 2019-04-03 16:22:15.593221 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '84', '81']
Received at: 2019-04-03 16:22:15.609138 ['60', 'BD', 'F9', '80', 'BB', '80', '84', '80', 'AA']
Received at: 2019-04-03 16:22:15.609190 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '85', '80']
Received at: 2019-04-03 16:22:15.625131 ['60', 'BD', 'F9', '80', 'BB', '80', '84', '80', 'AA']
Received at: 2019-04-03 16:22:15.641107 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '85', '80']
Received at: 2019-04-03 16:22:15.657111 ['60', 'BD', 'F9', '80', 'BA', '80', '84', '80', 'AB']
Received at: 2019-04-03 16:22:15.657163 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '85', '80']
Received at: 2019-04-03 16:22:15.673090 ['60', 'BD', 'F9', '80', 'BB', '80', '84', '80', 'AA']
Received at: 2019-04-03 16:22:15.673142 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '85', '80']
Received at: 2019-04-03 16:22:15.689102 ['60', 'BD', 'F9', '80', 'BA', '80', '84', '80', 'AB']
Received at: 2019-04-03 16:22:15.689154 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '85', '80']
Received at: 2019-04-03 16:22:15.705090 ['60', 'BD', 'F9', '80', 'B2', '80', '84', '80', 'B3']
Received at: 2019-04-03 16:22:15.721064 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '85', '80']
Received at: 2019-04-03 16:22:15.737069 ['60', 'BD', 'F9', '80', 'AB', '80', '84', '80', 'BA']
Received at: 2019-04-03 16:22:15.737120 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '85', '80']
Received at: 2019-04-03 16:22:15.753047 ['60', 'BD', 'F9', '80', 'AA', '80', '84', '80', 'BB']
Received at: 2019-04-03 16:22:15.753099 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '85', '80']
Received at: 2019-04-03 16:22:15.769048 ['60', 'BD', 'F9', '80', 'AA', '80', '84', '80', 'BB']
Received at: 2019-04-03 16:22:15.769099 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '85', '80']
Received at: 2019-04-03 16:22:15.785041 ['60', 'BD', 'F9', '80', 'AB', '80', '84', '80', 'BA']
Received at: 2019-04-03 16:22:15.801019 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '85', '80']
Received at: 2019-04-03 16:22:15.817025 ['60', 'BD', 'F9', '80', 'B3', '80', '84', '80', 'B2']
Received at: 2019-04-03 16:22:15.817079 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '86', 'FF']
Received at: 2019-04-03 16:22:15.833003 ['60', 'BD', 'F9', '80', 'AA', '80', '84', '80', 'BB']
Received at: 2019-04-03 16:22:15.833055 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '86', 'FF']
Received at: 2019-04-03 16:22:15.849003 ['60', 'BD', 'F9', '80', 'B2', '80', '84', '80', 'B3']
Received at: 2019-04-03 16:22:15.849054 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '86', 'FF']
Received at: 2019-04-03 16:22:15.864998 ['60', 'BD', 'F9', '80', 'BA', '80', '84', '80', 'AB']
Received at: 2019-04-03 16:22:15.880975 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '86', 'FF']
Received at: 2019-04-03 16:22:15.896974 ['60', 'BD', 'F8', '80', 'BF', '80', '84', '80', 'A7']
Received at: 2019-04-03 16:22:15.897025 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '86', 'FF']
Received at: 2019-04-03 16:22:15.913005 ['60', 'BE', 'F6', '80', '95', '80', '84', '80', 'D2']
Received at: 2019-04-03 16:22:15.913095 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '86', 'FF']
Received at: 2019-04-03 16:22:15.928946 ['60', 'BF', 'F2', '80', '83', '80', '84', '80', 'E7']
Received at: 2019-04-03 16:22:15.929006 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '86', 'FF']
Received at: 2019-04-03 16:22:15.944934 ['60', 'BF', 'EC', '80', 'BA', '80', '84', '80', 'B6']
Received at: 2019-04-03 16:22:15.960926 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '86', 'FF']
Received at: 2019-04-03 16:22:15.976906 ['60', 'C1', 'E2', '80', '9D', '80', '84', '80', 'DB']
Received at: 2019-04-03 16:22:15.976960 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '86', 'FF']
Received at: 2019-04-03 16:22:15.992915 ['60', 'C2', 'D4', '80', '97', '80', '84', '80', 'EE']
Received at: 2019-04-03 16:22:15.992967 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '85', '80']
Received at: 2019-04-03 16:22:16.008891 ['60', 'C2', 'C6', '80', '92', '80', '84', '80', '81']
Received at: 2019-04-03 16:22:16.008942 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '85', '80']
Received at: 2019-04-03 16:22:16.024891 ['60', 'C1', 'BF', '80', '8F', '80', '84', '80', '8C']
Received at: 2019-04-03 16:22:16.040886 ['61', 'B0', '89', 'C0', 'A0', '80', '80', '85', '80']
