Received at: 2019-04-03 15:59:52.335251 ['60', 'FE', 'C3', '80', 'AA', '80', '84', '80', 'B0']
Received at: 2019-04-03 15:59:52.351182 ['61', '92', '80', 'C0', 'A0', '80', '80', '80', 'AC']
Received at: 2019-04-03 15:59:52.367172 ['60', 'FF', 'C3', '80', 'A5', '80', '84', '80', 'B4']
Received at: 2019-04-03 15:59:52.367233 ['61', '92', '80', 'C0', 'A0', '80', '80', '80', 'AC']
Received at: 2019-04-03 15:59:52.383177 ['60', 'FF', 'C4', '80', 'B9', '80', '84', '80', '9F']
Received at: 2019-04-03 15:59:52.383228 ['61', '92', '80', 'C0', 'A0', '80', '80', '81', 'AB']
Received at: 2019-04-03 15:59:52.399176 ['60', 'FF', 'C4', '80', 'BE', '80', '84', '80', '9A']
Received at: 2019-04-03 15:59:52.399226 ['61', '92', '80', 'C0', 'A0', '80', '80', '81', 'AB']
Received at: 2019-04-03 15:59:52.415153 ['60', 'FF', 'C5', '80', 'B8', '80', '84', '80', '9F']
Received at: 2019-04-03 15:59:52.431126 ['61', '92', '80', 'C0', 'A0', '80', '80', '81', 'AB']
Received at: 2019-04-03 15:59:52.447089 ['60', 'FF', 'C5', '80', 'B9', '80', '84', '80', '9E']
Received at: 2019-04-03 15:59:52.447139 ['61', '92', '80', 'C0', 'A0', '80', '80', '81', 'AB']
Received at: 2019-04-03 15:59:52.463133 ['60', 'FF', 'C5', '80', 'B8', '80', '84', '80', '9F']
Received at: 2019-04-03 15:59:52.463183 ['61', '92', '80', 'C0', 'A0', '80', '80', '81', 'AB']
Received at: 2019-04-03 15:59:52.479102 ['60', 'FF', 'C4', '80', 'BF', '80', '84', '80', '99']
Received at: 2019-04-03 15:59:52.479152 ['61', '92', '80', 'C0', 'A0', '80', '80', '81', 'AB']
Received at: 2019-04-03 15:59:52.495099 ['60', 'FF', 'C4', '80', 'BE', '80', '84', '80', '9A']
Received at: 2019-04-03 15:59:52.511076 ['61', '92', '80', 'C0', 'A0', '80', '80', '82', 'AA']
Received at: 2019-04-03 15:59:52.527041 ['60', 'FF', 'C4', '80', 'BD', '80', '84', '80', '9B']
Received at: 2019-04-03 15:59:52.527091 ['61', '92', '80', 'C0', 'A0', '80', '80', '82', 'AA']
Received at: 2019-04-03 15:59:52.543053 ['60', 'FF', 'C4', '80', 'BC', '80', '84', '80', '9C']
Received at: 2019-04-03 15:59:52.543102 ['61', '92', '80', 'C0', 'A0', '80', '80', '82', 'AA']
Received at: 2019-04-03 15:59:52.559037 ['60', 'FF', 'C4', '80', 'BE', '80', '84', '80', '9A']
Received at: 2019-04-03 15:59:52.559088 ['61', '92', '80', 'C0', 'A0', '80', '80', '82', 'AA']
Received at: 2019-04-03 15:59:52.575032 ['60', 'FF', 'C5', '80', 'BA', '80', '84', '80', '9D']
Received at: 2019-04-03 15:59:52.590985 ['61', '92', '80', 'C0', 'A0', '80', '80', '82', 'AA']
Received at: 2019-04-03 15:59:52.606990 ['60', 'FF', 'C5', '80', 'BA', '80', '84', '80', '9D']
Received at: 2019-04-03 15:59:52.607040 ['61', '92', '80', 'C0', 'A0', '80', '80', '82', 'AA']
Received at: 2019-04-03 15:59:52.623002 ['60', 'FF', 'C5', '80', 'BA', '80', '84', '80', '9D']
Received at: 2019-04-03 15:59:52.623110 ['61', '92', '80', 'C0', 'A0', '80', '80', '82', 'AA']
Received at: 2019-04-03 15:59:52.639010 ['60', 'FF', 'C4', '80', 'BF', '80', '84', '80', '99']
Received at: 2019-04-03 15:59:52.639060 ['61', '92', '80', 'C0', 'A0', '80', '80', '82', 'AA']
Received at: 2019-04-03 15:59:52.655003 ['60', 'FF', 'C4', '80', 'BE', '80', '84', '80', '9A']
Received at: 2019-04-03 15:59:52.670952 ['61', '92', '80', 'C0', 'A0', '80', '80', '83', 'A9']
Received at: 2019-04-03 15:59:52.671001 ['60', 'FF', 'C4', '80', 'BD', '80', '84', '80', '9B']
Received at: 2019-04-03 15:59:52.686949 ['61', '92', '80', 'C0', 'A0', '80', '80', '83', 'A9']
Received at: 2019-04-03 15:59:52.702960 ['60', 'FF', 'C4', '80', 'BD', '80', '84', '80', '9B']
Received at: 2019-04-03 15:59:52.703009 ['61', '92', '80', 'C0', 'A0', '80', '80', '83', 'A9']
Received at: 2019-04-03 15:59:52.718960 ['60', 'FF', 'C4', '80', 'BC', '80', '84', '80', '9C']
Received at: 2019-04-03 15:59:52.719009 ['61', '92', '80', 'C0', 'A0', '80', '80', '83', 'A9']
Received at: 2019-04-03 15:59:52.734966 ['60', 'FF', 'C4', '80', 'BC', '80', '84', '80', '9C']
Received at: 2019-04-03 15:59:52.750939 ['61', '92', '80', 'C0', 'A0', '80', '80', '83', 'A9']
Received at: 2019-04-03 15:59:52.751016 ['60', 'FF', 'C4', '80', 'BC', '80', '84', '80', '9C']
Received at: 2019-04-03 15:59:52.766913 ['61', '92', '80', 'C0', 'A0', '80', '80', '83', 'A9']
Received at: 2019-04-03 15:59:52.782922 ['60', 'FF', 'C4', '80', 'BC', '80', '84', '80', '9C']
Received at: 2019-04-03 15:59:52.782981 ['61', '92', '80', 'C0', 'A0', '80', '80', '83', 'A9']
Received at: 2019-04-03 15:59:52.798893 ['60', 'FF', 'C4', '80', 'BD', '80', '84', '80', '9B']
Received at: 2019-04-03 15:59:52.798946 ['61', '92', '80', 'C0', 'A0', '80', '80', '83', 'A9']
Received at: 2019-04-03 15:59:52.814883 ['60', 'FF', 'C4', '80', 'BC', '80', '84', '80', '9C']
Received at: 2019-04-03 15:59:52.830851 ['61', '92', '80', 'C0', 'A0', '80', '80', '83', 'A9']
Received at: 2019-04-03 15:59:52.830902 ['60', 'FF', 'C4', '80', 'BC', '80', '84', '80', '9C']
Received at: 2019-04-03 15:59:52.846877 ['61', '92', '80', 'C0', 'A0', '80', '80', '84', 'A8']
Received at: 2019-04-03 15:59:52.862883 ['60', 'FF', 'C4', '80', 'BC', '80', '84', '80', '9C']
Received at: 2019-04-03 15:59:52.862933 ['61', '92', '80', 'C0', 'A0', '80', '80', '84', 'A8']
Received at: 2019-04-03 15:59:52.878883 ['60', 'FF', 'C4', '80', 'BD', '80', '84', '80', '9B']
Received at: 2019-04-03 15:59:52.878932 ['61', '92', '80', 'C0', 'A0', '80', '80', '84', 'A8']
Received at: 2019-04-03 15:59:52.894879 ['60', 'FF', 'C4', '80', 'BD', '80', '84', '80', '9B']
Received at: 2019-04-03 15:59:52.910801 ['61', '92', '80', 'C0', 'A0', '80', '80', '84', 'A8']
Received at: 2019-04-03 15:59:52.910852 ['60', 'FF', 'C4', '80', 'BD', '80', '84', '80', '9B']
Received at: 2019-04-03 15:59:52.926804 ['61', '92', '80', 'C0', 'A0', '80', '80', '84', 'A8']
